"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5616","Customer list count decreases after deletion","","2026-02-23","passed","2026-02-23","","org.example.manager.DeleteCustomerTest","org.example.manager.DeleteCustomerTest","testCustomerListUpdatesAfterDeletion"
"","10226","Withdraw more than balance does not update balance","","2026-02-23","passed","2026-02-23","","org.example.customer.WithdrawTest","org.example.customer.WithdrawTest","testWithdrawMoreThanBalance"
"","15203","Transaction count increases after each operation","","2026-02-23","passed","2026-02-23","","org.example.customer.TransactionTest","org.example.customer.TransactionTest","testTransactionCountIncreasesAfterEachOperation"
"","11243","Zero withdrawal does not update balance","","2026-02-23","passed","2026-02-23","","org.example.customer.WithdrawTest","org.example.customer.WithdrawTest","testWithdrawZeroAmount"
"","5541","Add customer with invalid post code - app accepts it","","2026-02-23","passed","2026-02-23","","org.example.manager.AddCustomerTest","org.example.manager.AddCustomerTest","testAddCustomerWithInvalidPostCode"
"","6407","Valid amount deposit updates balance correctly","","2026-02-23","passed","2026-02-23","","org.example.customer.DepositTest","org.example.customer.DepositTest","testValidDeposit"
"","10700","Valid withdrawal updates balance correctly","","2026-02-23","passed","2026-02-23","","org.example.customer.WithdrawTest","org.example.customer.WithdrawTest","testValidWithdrawal"
"","7963","Create a Pound account for Ron Weasley","","2026-02-23","passed","2026-02-23","","org.example.manager.CreateAccountTest","org.example.manager.CreateAccountTest","testCreatePoundAccount"
"","7620","Zero amount  deposit does not update balance","","2026-02-23","passed","2026-02-23","","org.example.customer.DepositTest","org.example.customer.DepositTest","testDepositZeroAmount"
"","12089","Withdraw entire balance leaves zero","","2026-02-23","passed","2026-02-23","","org.example.customer.WithdrawTest","org.example.customer.WithdrawTest","testWithdrawEntireBalance"
"","11720","Deposit is recorded in transaction history","","2026-02-23","passed","2026-02-23","","org.example.customer.TransactionTest","org.example.customer.TransactionTest","testDepositIsRecorded"
"","7208","Negative amount deposit does not update balance","","2026-02-23","passed","2026-02-23","","org.example.customer.DepositTest","org.example.customer.DepositTest","testDepositNegativeAmount"
"","10923","Negative withdrawal does not update balance","","2026-02-23","passed","2026-02-23","","org.example.customer.WithdrawTest","org.example.customer.WithdrawTest","testWithdrawNegativeAmount"
"","11865","Empty fields prevent submission","","2026-02-23","passed","2026-02-23","","org.example.manager.AddCustomerTest","org.example.manager.AddCustomerTest","testAddCustomerWithEmptyFields"
"","6904","Add a valid customer successfully","","2026-02-23","passed","2026-02-23","","org.example.manager.AddCustomerTest","org.example.manager.AddCustomerTest","testAddValidCustomer"
"","6765","Create a Rupee account for Hermoine Granger","","2026-02-23","passed","2026-02-23","","org.example.manager.CreateAccountTest","org.example.manager.CreateAccountTest","testCreateRupeeAccount"
"","5610","Delete an existing customer successfully","","2026-02-23","passed","2026-02-23","","org.example.manager.DeleteCustomerTest","org.example.manager.DeleteCustomerTest","testDeleteExistingCustomer"
"","5410","Add customer with numeric name - app accepts it","","2026-02-23","passed","2026-02-23","","org.example.manager.AddCustomerTest","org.example.manager.AddCustomerTest","testAddCustomerWithNumericName"
"","16194","Withdrawal is recorded in transaction history","","2026-02-23","passed","2026-02-23","","org.example.customer.TransactionTest","org.example.customer.TransactionTest","testWithdrawalIsRecorded"
"","8667","Multiple amount deposits accumulate correctly","","2026-02-23","passed","2026-02-23","","org.example.customer.DepositTest","org.example.customer.DepositTest","testMultipleDeposits"
"","20792","Create a Dollar account for Harry Potter","","2026-02-23","passed","2026-02-23","","org.example.manager.CreateAccountTest","org.example.manager.CreateAccountTest","testCreateDollarAccount"
"","8303","Deleted customer can no longer log in","","2026-02-23","passed","2026-02-23","","org.example.manager.DeleteCustomerTest","org.example.manager.DeleteCustomerTest","testDeletedCustomerCannotLogin"
"","5366","Customer without account is not available in login dropdown","","2026-02-23","passed","2026-02-23","","org.example.manager.CreateAccountTest","org.example.manager.CreateAccountTest","testCustomerCannotLoginWithoutAccount"
"","6362","Add customer with special characters - app accepts it","","2026-02-23","passed","2026-02-23","","org.example.manager.AddCustomerTest","org.example.manager.AddCustomerTest","testAddCustomerWithSpecialCharacters"
"","10684","Transaction history shows reset button for view reset only","","2026-02-23","passed","2026-02-23","","org.example.customer.TransactionTest","org.example.customer.TransactionTest","testCustomerCannotResetTransactions"
